KEGG,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9313ax_5,replete_extracellular_s9313ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s0801ax_10,replete_filter_s9313ax_5,replete_filter_s9313ax_10
C00196,0,0,0,0,0,0,0,0,0,0,0,0
C19675,59.6733729902364,0,541.630501914435,0,399.057860566497,0,0,0,0,0,0,0
C08276,0,0,0,0,0,0,0,0,0,0,0,0
C00141,8169.54775772746,0,16449.8084757602,24651.9268184237,223.180717089445,100228.888379,116396.989908597,0,0,0,0,0
C00671,0,0,5910.26918469466,13236.0462828233,0,20150.0695682388,26468.3599729371,316.36672452174,303.627646506378,272.686725358601,19.5705698574744,395.492424485168
C00568,0,0,234.486936574778,269.401452515221,1223.99652835731,72.6965344140942,189.464774869279,0,0,166.208908135628,0,0
C00156,6757.49660599807,0,10751.7712423205,9494.65109607479,15296.3575187523,6746.46417558648,7123.03357226483,0,0,0,0,0
C00233,0,0,10983.825755237,11341.1337216939,0,21929.9133418683,30508.354496097,73.3277787654776,91.8291643386437,142.741843304287,0,103.413557952912
C00170,390.220285695238,247.989392607564,0,0,0,82.0303089162198,169.047754336014,0,156.063812345938,0,0,248.544032157786
0,0,0,0,0,0,0,0,0,0,0,0,0
C00352,0,0,0,0,0,0,0,0,0,0,0,0
C04022,0,0,0,0,0,0,0,0,0,0,0,0
C00334,0,0,0,0,0,0,0,0,0,0,0,0
C01279,0,0,0,0,0,0,0,0,0,0,0,0
C00004,0,2628.30864525695,0,0,0,0,0,3080.94292799037,6789.28097494308,7317.81254092448,0,0
C00134,0,0,657.715648202297,0,0,0,157.317632403813,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
C00147,932.121600686276,601.315592557642,0,0,0,0,0,0,0,0,0,0
C00212,0,189.663998438504,0,0,0,0,0,0,0,0,0,0
C00020,0,675.460021236132,0,0,0,0,0,4458.31339516145,4904.78858332834,4410.05270499507,4580.71151389925,5656.56644670019
