filename,Treatment,SampleType,replicate,Light,Strain,NPOC (µM),TN (µM)
Chisholm_Pro_PR_0801ax_10A_DOC,replete,DOC,A,10,s0801,307.7099957,586.7477471
Chisholm_Pro_PR_0801ax_10A_TOC,replete,TOC,A,10,s0801,517.2504894,561.0963518
Chisholm_Pro_PR_0801ax_10B_DOC,replete,DOC,B,10,s0801,322.3447348,592.448006
Chisholm_Pro_PR_0801ax_10B_TOC,replete,TOC,B,10,s0801,517.1165741,580.1083094
Chisholm_Pro_PR_0801ax_10C_DOC,replete,DOC,C,10,s0801,299.6973105,562.9553619
Chisholm_Pro_PR_0801ax_10C_TOC,replete,TOC,C,10,s0801,526.2228111,604.9701001
Chisholm_Pro_PR_9301ax_10A_DOC,replete,DOC,A,10,s9301,341.8797937,576.0907412
Chisholm_Pro_PR_9301ax_10A_TOC,replete,TOC,A,10,s9301,498.234524,581.5707677
Chisholm_Pro_PR_9301ax_10B_DOC,replete,DOC,B,10,s9301,290.6913172,582.2866749
Chisholm_Pro_PR_9301ax_10B_TOC,replete,TOC,B,10,s9301,519.7948791,601.5576974
Chisholm_Pro_PR_9301ax_10C_DOC,replete,DOC,C,10,s9301,320.6892213,637.5544029
Chisholm_Pro_PR_9301ax_10C_TOC,replete,TOC,C,10,s9301,456.7207968,605.9450722
Chisholm_Pro_PR_9301ax_50A_DOC,replete,DOC,A,50,s9301,349.8924789,555.5202415
Chisholm_Pro_PR_9301ax_50A_TOC,replete,TOC,A,50,s9301,405.8330021,513.810201
Chisholm_Pro_PR_9301ax_50B_DOC,replete,DOC,B,50,s9301,350.2235816,540.1543261
Chisholm_Pro_PR_9301ax_50C_DOC,replete,DOC,C,50,s9301,347.5085395,557.5029403
Chisholm_Pro_PR_9301ax_50C_TOC,replete,TOC,C,50,s9301,609.1163503,543.0593665
Chisholm_Pro_PR_9313ax_10A_DOC,replete,DOC,A,10,s9313,351.1506692,483.399574
Chisholm_Pro_PR_9313ax_10A_TOC,replete,TOC,A,10,s9313,449.0876276,452.825691
Chisholm_Pro_PR_9313ax_10B_DOC,replete,DOC,B,10,s9313,339.0985311,475.7166163
Chisholm_Pro_PR_9313ax_10B_TOC,replete,TOC,B,10,s9313,714.3737361,557.6839492
Chisholm_Pro_PR_9313ax_10C_DOC,replete,DOC,C,10,s9313,328.4370243,487.1171342
Chisholm_Pro_PR_9313ax_10C_TOC,replete,TOC,C,10,s9313,719.4625155,544.5218247
Chisholm_Pro_PR_9313ax_5A_DOC,replete,DOC,A,5,s9313,346.3827904,502.9787243
Chisholm_Pro_PR_9313ax_5A_TOC,replete,TOC,A,5,s9313,670.1817039,566.9461849
Chisholm_Pro_PR_9313ax_5B_DOC,replete,DOC,B,5,s9313,323.3380428,494.3044172
Chisholm_Pro_PR_9313ax_5B_TOC,replete,TOC,B,5,s9313,596.5283168,559.1464075
Chisholm_Pro_PR_9313ax_5C_DOC,replete,DOC,C,5,s9313,312.8089772,523.549224
Chisholm_Pro_PR_9313ax_5C_TOC,replete,TOC,C,5,s9313,620.6330617,573.2835041
Chisholm_Pro_PR_blank_10_DOC,replete,DOC,na,10,blank,287.0491875,692.3264563
Chisholm_Pro_PR_blank_10_TOC,replete,TOC,na,10,blank,289.3267354,619.5946828
Chisholm_Pro_PR_blank_5_DOC,replete,DOC,na,5,blank,341.1513678,647.9635714
Chisholm_Pro_PR_blank_5_TOC,replete,TOC,na,5,blank,331.5100389,602.0451835
Chisholm_Pro_PR_blank_50_DOC,replete,DOC,na,50,blank,277.4472094,712.6491186
Chisholm_Pro_PR_blank_50_TOC,replete,TOC,na,50,blank,292.8085319,650.7937926
Pro_PL_9301ax_DOC_A_2.10.17,limited,DOC,A,50,s9301,375.5329603,606.9616923
Pro_PL_9301ax_DOC_B_2.10.17,limited,DOC,B,50,s9301,398.1174169,613.6591177
Pro_PL_9301ax_TOC_A_1.31.17,limited,TOC,A,50,s9301,441.8325923,574.0616608
Pro_PL_9301ax_TOC_A_2.3.17,limited,TOC,A,50,s9301,475.8333676,612.7006538
Pro_PL_9301ax_TOC_A_2.6.17,limited,TOC,A,50,s9301,443.197587,614.2462135
Pro_PL_9301ax_TOC_B_2.3.17,limited,TOC,B,50,s9301,489.1110426,624.0347584
Pro_PL_9301ax_TOC_B_2.6.17,limited,TOC,B,50,s9301,438.9785127,598.2754297
Pro_PL_9301ax_TOC_B_TOC_1.31.17,limited,TOC,B,50,s9301,433.8908054,615.7917732
Pro_PL_blank_DOC_A_2.10.17,limited,DOC,A,50,blank,262.8588584,695.3161895
Pro_PL_blank_DOC_B_2.10.17,limited,DOC,B,50,blank,293.0128306,708.7110404
Pro_PL_blank_TOC_A_2.6.17,limited,TOC,A,50,blank,382.6414617,709.040543
Pro_PL_blank_TOC_B_2.6.17,limited,TOC,B,50,blank,350.9984044,643.6118482
