Strain,Light,Replicate,SampleInfo,Treatment,CellsFiltered,fgC,totalCcaptured,mlFiltered,extractVol_ul,x20x2D30x2DdihydroxybenzoicAcid,x20x2D30x2Ddihydroxypropane1sulfonate,x30x2DmercaptoProprionate,x30x2Dmethyl0x2D20x2DoxobutanoicAcid,x30x2Dmethyl0x2D20x2DoxopentanoicAcid,x40x2DaminobenzoicAcid,x40x2DhydroxybenzoicAcid,x40x2Dmethyl0x2D20x2DoxopentanoicAcid,x50x270x2DDeoxy0x2D50x270x28methylthio0x29adenosine,AmMP,D0x2Dglucosamine60x2Dphosphate,DMSP,GABA,HMP,NADPos,Putrescine,acetyltaurine,adeninePos,adenosine,adenosine50x270x2DmonophosphatePos,alpha0x2DketoglutaricAcid,arginine,asparticAcidPos,betaine,biotinNeg,caffeine,chitobiosePos,chitotriose,choline,ciliatine,citricAcid,citrulline,cyanocobalamin,cytosine,desthiobiotinPos,dihydroxyacetonePhosphate,ectoine,folicAcidNeg,fosfomycin,fumaricAcid,glucose6P,glutamicAcid,glutamine,glyphosate,guanine,guanosinePos,heminII,indole30x2DaceticAcid,inosine,inosine50x270x2DmonophosphateNeg,isoleucine,l0x2Dcysteine,l0x2Dglutathione,l0x2Dkynurenine,l0x2Dleucine,l0x2Dtyrosine,malicAcid,methionine,muramicAcid,n0x2DacetylGlucosamine,n0x2DacetylGlutamicAcid,n0x2DacetylMuramicAcidPos,ornithine,oroticAcid,pantothenicAcidNeg,phenylalanine,phosphoenolpyruvate,phycocyanobilin,proline,pyridoxine,riboflavin,s0x2D0x2810x2D20x2Ddicarboxyethyl0x29glutathionePos,s0x2D0x2850x270x2Dadenosyl0x290x2DL0x2DhomocysteinePos,s0x2Dadenosyl0x2DL0x2Dmethionine,sarcosine,serine,sn0x2Dglycerol30x2DphosphatePos,sodiumTaurocholate,spermidine,succinicAcid,syringicAcid,taurine,thiamine,thiamineMonophosphate,threonine0x28isom0x2EHomoserine0x29,thymidine,tryptamine,tryptophan,uracilPos,uridine50x2DmonophosphatePos,valine,xanthinePos,xanthosineNeg
s9301ax,50,A,extracellular,Plimited,6659391084.4121,30,199781732532.363,78.05,75,0,1.39906881334202e-09,0,2.43500305273438e-06,0,0,1.48391501081022e-07,0,1.61357039412062e-08,0,0,0,0,0,0,0,0,1.64766705615356e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85669916197749e-08,0,0,0,0,0,0,0,0,0,1.31110348224238e-08,1.09948035052829e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33426818583892e-09,4.85816396149225e-09,0,0,0,0,0,1.12372564266721e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92404734843136e-06,0,0,0,0,0,0,0
s9301ax,50,A,filter,Plimited,6659391084.4121,30,199781732532.363,78.05,150,0,0,0,0,0,0,0,0,6.34799844633084e-09,0,0,0,0,0,1.41046065638163e-07,0,0,5.47930447965207e-09,3.79600677150769e-09,1.78745443413306e-08,0,1.65996000096423e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31826134586949e-09,5.16218872301572e-09,0,0,0,0,0,0,0,0,4.28113452087191e-09,0,0,0,0,0,0,0,0,0,4.55091753273487e-09,0,0,0,0,0,0,9.1785323945798e-10,3.53485342334345e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72202009818696e-09,0,0,2.35900750545135e-09,0,0
s9301ax,50,B,extracellular,Plimited,5801565335.8346,30,174046960075.038,73.2,75,0,1.60593664687369e-09,0,5.38734379905104e-07,0,0,1.54085078995698e-07,0,2.163541550919e-08,0,0,0,0,0,0,0,0,2.46184424349887e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3263269380313e-08,0,0,0,0,0,0,0,0,0,2.00013710852069e-08,1.32673418704972e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6342792273173e-09,4.27757689237411e-09,0,0,0,0,0,4.22456427637802e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42241220419466e-06,0,0,0,0,0,0,0
s9301ax,50,B,filter,Plimited,5801565335.8346,30,174046960075.038,73.2,150,0,0,0,0,0,0,0,0,5.56055674358506e-09,0,0,0,0,0,1.41360570865331e-07,0,0,7.76340470324365e-09,4.43579792415825e-09,2.01952580775567e-08,0,2.61531398075145e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59020700141647e-09,6.10696008691853e-09,0,0,0,0,0,0,0,0,3.30659313797829e-09,0,0,0,0,0,0,0,0,0,3.13871494216049e-09,0,0,0,0,0,0,7.62154582719357e-10,3.88355995922194e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66221348651207e-09,0,0,1.09637886831618e-09,0,0
s0801ax,10,A,extracellular,replete,4181003466.05184,46,192326159438.385,33.3,75,0,0,0,0,0,1.07575203776327e-08,2.34178642708512e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03696767381746e-08,0,0,0,0,3.16958523436065e-07,0,0,1.72698145882148e-08,0,8.80426364358704e-09,0,0,0,0,0,0,0,0,8.13388544899161e-09,2.52568252883415e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.73554785265003e-10,0,0,0,0,0,0,1.70184221081987e-06,0,4.50909467023026e-08,0,0,0,0,0
s0801ax,10,A,filter,replete,4181003466.05184,46,192326159438.385,33.3,150,0,0,0,0,2.64166248358309e-09,1.18568593263618e-09,0,1.06904958015277e-09,0,0,0,0,0,0,3.53963663046133e-07,0,0,0,0,8.02317488512635e-08,0,1.2874201060922e-08,0,0,0,0,0,0,0,0,0,5.13275390782269e-09,0,0,0,0,0,0,0,0,0,5.44995226957671e-08,3.15800338294475e-08,0,0,3.10823290148796e-10,0,0,0,0,2.95652143962107e-09,0,5.60044505002241e-09,0,0,1.89694553405734e-08,0,0,0,0,4.6434834108161e-08,0,0,0,0,5.94604839230233e-09,0,0,1.17968927092398e-08,0,0,0,4.74416854230064e-09,1.35711664838749e-08,0,0,0,0,1.06718401366154e-08,0,0,0,0,0,0,0,0,1.44634931203132e-08,0,0,0,0,0
s0801ax,10,B,extracellular,replete,3119447925.14089,46,143494604556.481,33.4,75,0,2.64911163460714e-08,0,1.09888713116565e-07,0,4.37223712774199e-08,2.85806503556283e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14090226162796e-07,0,0,7.62690117262587e-08,0,5.13950237888455e-08,0,0,0,0,0,0,0,0,1.13079143721864e-08,2.4320117184074e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8816342867293e-06,0,5.97535248254182e-08,0,0,0,0,0
s0801ax,10,B,filter,replete,3119447925.14089,46,143494604556.481,33.4,150,0,0,0,0,1.91793552691853e-09,1.64544885053123e-09,0,2.54086626550819e-09,0,0,0,0,0,0,0,0,0,0,0,7.79198472659506e-08,0,9.76309675247531e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86775485903264e-08,0,0,0,0,0,5.06450079847335e-08,3.00718063768583e-08,0,0,4.36136431637292e-10,0,0,0,6.37752118257595e-09,5.50582647496652e-09,0,0,0,0,2.08168082020531e-08,0,5.5699042451509e-09,0,0,4.62231630511116e-08,0,0,0,0,7.74014229286025e-09,0,0,7.94724070438533e-09,0,0,0,5.20861426347814e-09,1.60867721518405e-08,0,0,0,0,1.63405158434119e-08,0,0,0,0,0,0,0,0,1.61209951501198e-08,0,0,3.21788494564033e-09,0,0
s0801ax,10,C,extracellular,replete,3347216473.5344,46,153971957782.583,32.9,75,0,0,0,0,0,1.2538394200062e-08,2.78746937733699e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1584594932081e-08,0,0,0,0,1.10290450109331e-06,0,0,7.3133372528346e-08,0,4.21718231465795e-08,0,0,0,0,0,0,0,0,9.97081608941147e-09,2.81222907928121e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30132267485588e-06,0,5.64819320166649e-08,0,0,0,1.72860504318521e-09,0
s0801ax,10,C,filter,replete,3347216473.5344,46,153971957782.583,32.9,150,0,0,0,0,1.95553530874218e-09,1.50406201211482e-09,0,0,0,0,0,0,0,0,5.17087555674248e-07,0,0,0,0,1.30336588007858e-07,0,1.88602117719237e-08,0,0,0,0,0,0,0,0,0,5.54073009025579e-09,0,0,0,0,0,0,0,0,0,5.05539142594464e-08,4.76803719132589e-08,0,0,0,0,0,0,3.86172176904227e-09,3.60838779127758e-09,0,0,0,0,2.15952180183876e-08,0,4.64780907572589e-09,0,0,5.91798879812317e-08,0,0,0,0,7.22680722613268e-09,0,0,1.36884782538244e-08,0,0,0,5.45704309611215e-09,1.57668435088212e-08,0,0,0,0,1.29481837106066e-08,0,0,0,0,0,0,0,0,1.5098210314852e-08,0,0,0,0,0
