,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s9313ax_10,replete_extracellular_s9313ax_5,replete_filter_s0801ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s9313ax_10,replete_filter_s9313ax_5
C00042,0.0,0.0,0.0,2.81e-10,0.0,4.63e-10,2.2e-09,0.0,0.0,0.0,0.0,0.0
C00004,0.0,1.41e-07,0.0,0.0,0.0,0.0,0.0,2.9e-07,7.730000000000001e-08,1.42e-07,0.0,0.0
C00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85e-10,0.0,2.96e-10,0.0
C00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23e-09,4.82e-09,0.0,1.23e-09,0.0
C00158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1100000000000002e-08,5.2099999999999997e-08,2.5099999999999996e-08
C00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00082,0.0,3.79e-09,3.41e-08,6.409999999999999e-09,9.41e-09,1.1400000000000001e-10,0.0,2.0499999999999998e-08,8.62e-09,4.08e-09,1.37e-08,1.16e-08
C00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19e-08,2.1e-08,2.2000000000000002e-08,5.2099999999999997e-08,5.38e-08
C00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64e-08,2.49e-09,0.0,4.83e-09,0.0
C00097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C04022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
