,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s9313ax_10,replete_extracellular_s9313ax_5,replete_filter_s0801ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s9313ax_10,replete_filter_s9313ax_5
C01279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00082,0.0,3.79e-09,3.41e-08,6.409999999999999e-09,9.41e-09,1.1400000000000001e-10,0.0,2.0499999999999998e-08,8.62e-09,4.08e-09,1.37e-08,1.16e-08
C01081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23e-09,4.82e-09,0.0,1.23e-09,0.0
C00042,0.0,0.0,0.0,2.81e-10,0.0,4.63e-10,2.2e-09,0.0,0.0,0.0,0.0,0.0
C00334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85e-10,0.0,2.96e-10,0.0
C00183,0.0,1.7300000000000002e-09,0.0,0.0,1.97e-10,0.0,1.66e-09,1.07e-09,3.6400000000000004e-10,1.3e-09,2.09e-08,2.61e-08
C00141,1.49e-06,0.0,3.6600000000000003e-08,1.26e-06,1.7e-06,1.17e-05,1.3699999999999998e-05,0.0,0.0,0.0,0.0,0.0
C00864,3.4799999999999996e-09,0.0,9.8e-09,3.91e-09,2.33e-09,5.81e-08,7.71e-08,0.0,0.0,0.0,2.58e-09,2.8899999999999997e-09
C00106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.179999999999998e-09
C01909,7.59e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00568,0.0,0.0,2.23e-08,2.36e-09,2.33e-09,2.4e-09,1.19e-09,1.45e-09,0.0,0.0,0.0,0.0
C00504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19e-08,2.1e-08,2.2000000000000002e-08,5.2099999999999997e-08,5.38e-08
C05786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00156,1.51e-07,0.0,2.66e-07,1.12e-07,8.150000000000001e-08,8.849999999999999e-08,1.12e-07,0.0,0.0,0.0,0.0,0.0
