,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s9313ax_10,replete_extracellular_s9313ax_5,replete_filter_s0801ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s9313ax_10,replete_filter_s9313ax_5
C00334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85e-10,0.0,2.96e-10,0.0
C00106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.179999999999998e-09
C00315,0.0,0.0,1.5800000000000002e-10,6.79e-10,0.0,0.0,0.0,1.33e-08,7.240000000000001e-09,6.1e-09,1.73e-08,1.71e-08
C00864,3.4799999999999996e-09,0.0,9.8e-09,3.91e-09,2.33e-09,5.81e-08,7.71e-08,0.0,0.0,0.0,2.58e-09,2.8899999999999997e-09
C00245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19e-08,2.1e-08,2.2000000000000002e-08,5.2099999999999997e-08,5.38e-08
C00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1100000000000002e-08,5.2099999999999997e-08,2.5099999999999996e-08
C00097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C05122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C03557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C06454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00407,0.0,0.0,6.110000000000001e-07,0.0,0.0,0.0,1.7e-07,4.020000000000001e-09,0.0,0.0,9.32e-09,9.350000000000001e-09
C00082,0.0,3.79e-09,3.41e-08,6.409999999999999e-09,9.41e-09,1.1400000000000001e-10,0.0,2.0499999999999998e-08,8.62e-09,4.08e-09,1.37e-08,1.16e-08
C00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00183,0.0,1.7300000000000002e-09,0.0,0.0,1.97e-10,0.0,1.66e-09,1.07e-09,3.6400000000000004e-10,1.3e-09,2.09e-08,2.61e-08
C00079,4.5700000000000006e-09,3.84e-09,2.59e-06,0.0,0.0,4.9e-08,7.17e-08,6.9700000000000005e-09,5.8099999999999996e-09,6e-09,1.14e-08,7.41e-09
C00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64e-08,2.49e-09,0.0,4.83e-09,0.0
C00062,0.0,2.14e-09,0.0,0.0,0.0,0.0,0.0,1.38e-08,1.05e-08,5.37e-09,3.73e-10,1.8299999999999999e-09
C00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-09,1.32e-09,2.8600000000000005e-09,1.75e-09,0.0
C00134,0.0,0.0,0.0,5.14e-09,0.0,1.3800000000000002e-09,0.0,0.0,0.0,0.0,0.0,0.0
