,Plimited_extracellular_s9301ax_50,Plimited_filter_s9301ax_50,replete_extracellular_s0801ax_10,replete_extracellular_s9301ax_10,replete_extracellular_s9301ax_50,replete_extracellular_s9313ax_10,replete_extracellular_s9313ax_5,replete_filter_s0801ax_10,replete_filter_s9301ax_10,replete_filter_s9301ax_50,replete_filter_s9313ax_10,replete_filter_s9313ax_5
C00212,0.0,4.120000000000001e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00020,0.0,1.8999999999999998e-08,0.0,0.0,0.0,0.0,0.0,9.619999999999999e-08,5.7400000000000004e-08,5.3600000000000004e-08,8.35e-08,9.7e-08
C00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64e-08,2.49e-09,0.0,4.83e-09,0.0
C00130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4100000000000004e-09,1.09e-09,0.0,5.16e-09,0.0
C00294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00242,1.66e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00387,1.2099999999999999e-08,1.95e-09,1.07e-08,2.7500000000000002e-09,5.6000000000000005e-09,0.0,3.3500000000000002e-09,2.4899999999999997e-10,0.0,2.7e-10,0.0,0.0
C00147,2.0499999999999998e-08,6.620000000000001e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01762,0.0,0.0,0.0,0.0,0.0,0.0,9.620000000000001e-09,0.0,0.0,0.0,0.0,0.0
C00385,0.0,0.0,5.76e-10,0.0,0.0,7.5e-10,0.0,0.0,0.0,0.0,0.0,0.0
C00380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56e-08,0.0,0.0
C00106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.179999999999998e-09
C00214,2.17e-06,0.0,1.96e-06,1.66e-06,1.8e-06,7.459999999999999e-07,4.39e-07,0.0,0.0,0.0,0.0,0.0
